Model,Accuracy,Precision,Recall,F1
TF-IDF + Logistic Regression (Baseline),0.5318363580436789,0.5744856385630209,0.5318363580436789,0.5382416571120634
Transformer + Logistic Regression,0.5229160258382036,0.5623252667151133,0.5229160258382036,0.5245936108039895
